,m_paid,m_free,m_total,m_foreigner,zb_paid,zb_adult,zb_teen,zb_child,zb_foreigner,zb_group,zb_free,zb_total,tp_paid,tp_adult,tp_teen,tp_child,tp_foreigner,tp_group,tp_free,tp_total,date_fri,date_thur,date_wed,date_mon,date_sun,date_sat,date_tue,fall,spring,summer,winter,break_summer,break_winter,break_summer.1,break_winter.1,when,temp,rain,wind,humid,cloud,강수 계속시간(hr),10분 최다 강수량(mm),1시간 최다강수량(mm),일강수량(mm),cloud_w,temp_w,humid_w,wind_w
66,139,465,604,8,139,135,2,2,8,0,452,591,0,0,0,0,0,0,13,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2018-03-08,4.6,4.0,1.9,76.0,8.1,10.25,0.0,0.0,4.0,3,2,5,1
67,495,871,1366,31,495,472,5,18,31,30,855,1350,0,0,0,0,0,0,16,16,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2018-03-09,4.5,0.0,1.5,63.3,5.9,0.0,0.0,0.0,0.0,2,2,5,1
68,7513,3210,10723,79,7274,6238,136,900,79,0,3148,10422,239,216,1,22,0,0,62,301,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2018-03-10,4.6,0.0,2.0,65.8,4.6,0.0,0.0,0.0,0.0,2,2,5,1
69,11235,3277,14512,13,10756,9185,228,1343,11,0,3213,13969,479,434,3,42,2,0,64,543,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2018-03-11,6.4,0.0,2.0,51.3,2.8,0.0,0.0,0.0,0.0,1,2,3,1
70,818,737,1555,32,806,793,4,9,32,0,699,1505,12,12,0,0,0,0,38,50,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2018-03-12,8.0,0.0,1.4,45.8,3.3,0.0,0.0,0.0,0.0,2,3,3,1
71,889,930,1819,39,868,826,4,38,39,34,890,1758,21,19,1,1,0,0,40,61,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2018-03-13,12.4,0.0,1.8,60.5,5.9,0.0,0.0,0.0,0.0,2,4,5,1
72,1872,1160,3032,22,1806,1711,43,52,20,30,1089,2895,66,64,0,2,2,0,71,137,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2018-03-14,17.0,0.0,2.3,58.8,6.0,0.0,0.0,0.0,0.0,3,5,4,1
73,82,308,390,3,80,74,0,6,3,0,306,386,2,2,0,0,0,0,2,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2018-03-15,12.4,27.0,2.1,92.1,9.8,13.5,0.0,0.0,27.0,4,4,5,1
74,1118,983,2101,42,1072,1029,12,31,42,0,967,2039,46,44,1,1,0,0,16,62,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2018-03-16,7.1,0.0,1.9,46.9,1.4,0.0,0.0,0.0,0.0,1,2,3,1
75,17044,4667,21711,44,15928,13630,249,2049,42,87,4446,20374,1116,1005,7,104,2,0,221,1337,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2018-03-17,6.6,0.0,1.5,48.0,4.4,0.0,0.0,0.0,0.0,2,2,3,1
76,8256,3084,11340,67,7924,6596,192,1136,58,0,2901,10825,332,286,0,46,9,0,183,515,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2018-03-18,8.2,0.5,1.2,55.9,9.8,7.42,0.0,0.0,0.5,4,3,4,1
77,295,490,785,9,291,279,1,11,9,0,479,770,4,3,0,1,0,0,11,15,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2018-03-19,8.0,1.0,2.5,64.5,9.5,13.5,0.0,0.0,1.0,4,3,5,1
78,377,851,1228,30,363,332,9,22,30,0,823,1186,14,14,0,0,0,0,28,42,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2018-03-20,4.7,0.0,3.4,39.9,6.9,0.0,0.0,0.0,0.0,3,2,2,2
79,1673,511,2184,4,1673,353,828,492,4,0,501,2174,0,0,0,0,0,0,10,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2018-03-21,2.1,1.0,1.7,64.1,9.9,8.33,0.0,0.0,1.0,4,1,5,1
80,603,956,1559,44,566,545,13,8,44,0,899,1465,37,35,0,2,0,41,57,94,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2018-03-22,4.9,0.0,2.2,61.5,1.5,0.0,0.0,0.0,0.0,1,2,5,1
81,1002,920,1922,18,986,886,49,51,18,68,892,1878,16,15,0,1,0,0,28,44,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2018-03-23,6.1,0.0,2.0,55.3,4.6,0.0,0.0,0.0,0.0,2,2,4,1
82,6364,2054,8418,59,6165,5241,173,751,57,94,1975,8140,199,187,1,11,2,0,79,278,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2018-03-24,7.6,0.0,2.1,61.9,6.3,0.0,0.0,0.0,0.0,3,2,5,1
83,5576,1758,7334,114,5397,4567,214,616,114,0,1646,7043,179,156,2,21,0,0,112,291,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2018-03-25,9.6,0.0,1.7,65.6,3.4,0.0,0.0,0.0,0.0,2,3,5,1
84,621,606,1227,26,613,568,15,30,26,0,580,1193,8,8,0,0,0,0,26,34,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2018-03-26,11.0,0.0,1.9,64.5,3.6,0.0,0.0,0.0,0.0,2,4,5,1
85,560,737,1297,26,544,483,21,40,21,0,706,1250,16,14,0,2,5,0,31,47,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2018-03-27,13.3,0.0,1.6,61.1,2.6,0.0,0.0,0.0,0.0,1,4,5,1
86,964,866,1830,18,951,825,82,44,18,69,823,1774,13,13,0,0,0,0,43,56,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2018-03-28,14.0,0.0,2.2,66.4,4.3,0.0,0.0,0.0,0.0,2,4,5,1
87,725,863,1588,41,709,655,18,36,41,69,832,1541,16,16,0,0,0,0,31,47,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2018-03-29,15.4,0.0,1.6,66.3,4.9,0.0,0.0,0.0,0.0,2,4,5,1
88,2395,1275,3670,60,2315,1610,619,86,59,618,1231,3546,80,75,2,3,1,0,44,124,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2018-03-30,14.8,0.0,1.7,55.6,0.5,0.0,0.0,0.0,0.0,1,4,4,1
89,17894,6715,24609,101,16653,14148,252,2253,90,298,5508,22161,1241,1087,5,149,11,0,477,1718,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2018-03-31,14.0,0.0,1.9,52.9,4.4,0.0,0.0,0.0,0.0,2,4,4,1
90,10899,4222,15121,156,10269,8689,188,1392,153,36,4079,14348,630,558,9,63,3,0,143,773,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2018-04-01,15.6,0.0,1.5,68.8,9.1,0.0,0.0,0.0,0.0,4,4,5,1
91,1818,967,2785,12,1746,1632,13,101,11,30,899,2645,72,65,0,7,1,0,68,140,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2018-04-02,18.4,0.0,1.9,64.0,6.1,0.0,0.0,0.0,0.0,3,5,5,1
92,2140,1549,3689,67,2067,1792,103,172,66,218,1314,3381,73,69,0,4,1,53,235,308,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2018-04-03,17.8,0.1,2.1,72.9,9.1,2.92,0.1,0.1,0.1,4,5,5,1
93,1585,990,2575,32,1442,1318,47,77,26,0,939,2381,143,135,0,8,6,0,51,194,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2018-04-04,13.4,18.5,1.9,67.0,6.1,6.5,2.5,8.0,18.5,3,4,5,1
94,559,433,992,7,550,136,408,6,6,394,410,960,9,9,0,0,1,0,23,32,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2018-04-05,7.6,10.5,2.0,90.6,9.9,19.67,1.0,3.0,10.5,4,2,5,1
95,2933,987,3920,31,2881,1139,1548,194,30,1713,876,3757,52,50,1,1,1,39,111,163,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2018-04-06,5.8,6.5,3.1,71.6,8.9,5.42,0.5,2.5,6.5,3,2,5,2
96,9469,3272,12741,88,9065,7899,221,945,88,181,3160,12225,404,380,2,22,0,0,112,516,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2018-04-07,4.2,0.2,4.1,45.5,5.1,2.58,0.1,0.2,0.2,2,2,3,4
97,9341,3342,12683,139,8789,7464,212,1113,133,0,3063,11852,552,489,8,55,6,0,279,831,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2018-04-08,3.9,3.0,1.8,59.6,6.1,6.5,1.0,2.5,3.0,3,1,4,1
